id,skills,education,experience_years,role
661,"nginx, powerbi, public_speaking, spring, ux_research",Bachelors,3,UX/UI Designer
662,"aws, mongodb_atlas, rails",Bootcamp,12,Solutions Architect
663,"agile, scikit_learn, swift, websockets",Bachelors,13,Machine Learning Engineer
664,"kotlin, kubernetes, mysql",Bachelors,7,Solutions Architect
665,"agile, hadoop, jenkins, nginx, solidity, swift, tensorflow, ux_research",Masters,15,Data Scientist
666,"apache, azure, deep_learning, nlp, project_management, typescript",PhD,12,Data Scientist
667,"express, gcp, tableau",Bootcamp,7,Cybersecurity Analyst
668,"gcp, postgresql, statistics",Bachelors,13,Data Scientist
669,"flask, leadership, solidity, statistics",Masters,5,Product Manager
670,"aws, azure, blockchain, grpc, hadoop, statistics",Bootcamp,8,DevOps Engineer
671,"communication, cpp, networking",Bachelors,9,Cybersecurity Analyst
672,"agile, kafka, nosql, public_speaking",Bootcamp,4,Database Administrator
673,"deep_learning, django, dotnet, hadoop, mysql, powershell, sketch, solidity",Bachelors,2,UX/UI Designer
674,"cpp, cypress, statistics",Masters,15,Data Scientist
675,"aws, communication, elasticsearch, illustrator, project_management, public_speaking, pytest, tableau",Bootcamp,5,Data Analyst
676,"firebase, pandas, powershell, rust",Bachelors,10,Data Scientist
677,"devops, jenkins, leadership, nosql",Masters,2,Project Manager
678,"apache, azure, data_viz, kotlin, ruby",Bachelors,2,Cybersecurity Analyst
679,"blockchain, firebase, kotlin, microservices, postgresql, r, solidity",Bachelors,12,Blockchain Developer
680,"agile, communication, junit, linux, pytest, rabbitmq, statistics, typescript",Bootcamp,4,Data Analyst
681,"html, nosql, ui_design",Bachelors,9,Frontend Developer
682,"data_analysis, nodejs, pytorch",Bachelors,12,Backend Developer
683,"express, github_actions, go, kafka",Bachelors,7,Backend Developer
684,"aws, git, kubernetes, problem_solving, supabase",Masters,5,Machine Learning Engineer
685,"flask, git, go, ui_design",Masters,15,UX/UI Designer
686,"bash, docker, terraform, testing, vue",Bootcamp,3,DevOps Engineer
687,"firebase, git, nlp, scikit_learn",Bootcamp,7,Machine Learning Engineer
688,"angular, cypress, deep_learning, express, go, kubernetes, vue",Bootcamp,10,Frontend Developer
689,"cicd, elasticsearch, gcp, go, jira, mysql, problem_solving, tensorflow",Bachelors,5,Product Manager
690,"communication, firebase, html, linux, nodejs, problem_solving",Masters,14,Full Stack Developer
691,"bash, mysql, problem_solving, project_management, rest_apis, sketch",Bootcamp,0,Product Manager
692,"html, nginx, statistics",Masters,5,Data Scientist
693,"cybersecurity, go, machine_learning, pytorch, selenium",Bootcamp,7,Data Scientist
694,"agile, angular, excel, leadership, public_speaking, r, ruby, vue",PhD,4,Product Manager
695,"kafka, laravel, photoshop, scala, ui_design",Bachelors,12,UX/UI Designer
696,"kafka, mongodb_atlas, python, vue",Bachelors,10,Frontend Developer
697,"excel, hadoop, microservices, technical_writing",Bootcamp,4,Backend Developer
698,"agile, blockchain, deep_learning",Bachelors,5,Data Scientist
699,"ruby, tableau, tensorflow",Masters,2,Data Analyst
700,"kubernetes, solidity, sql, supabase, websockets",PhD,15,Backend Developer
701,"cybersecurity, gitlab, junit, rails, rest_apis, testing",Bootcamp,5,Software Developer
702,"django, docker, firebase, laravel, public_speaking, pytest, sql",Bootcamp,13,Full Stack Developer
703,"css, javascript, kafka, mongodb_atlas, numpy, supabase",Masters,5,Frontend Developer
704,"cicd, excel, leadership, project_management, pytest, rust, scikit_learn, sketch",Bachelors,12,Product Manager
705,"rails, scala, scikit_learn, statistics",Bachelors,0,Data Analyst
706,"blockchain, cpp, microservices, pytorch, r, rest_apis",Masters,7,Backend Developer
707,"bash, kafka, microservices, mongodb_atlas, react, solidity, terraform",Bachelors,13,Backend Developer
708,"communication, cybersecurity, java, jira, mongodb_atlas, postgresql, powerbi, terraform",Bachelors,12,Product Manager
709,"figma, grpc, ruby, vue, websockets",Masters,10,UX/UI Designer
710,"csharp, html, nosql, pandas",Bachelors,7,Data Scientist
711,"aws, computer_vision, cypress, mongodb_atlas, scala, supabase, ux_research",Bachelors,8,DevOps Engineer
712,"ethereum, excel, kubernetes, powerbi, selenium, tableau, vue",Bachelors,1,Data Analyst
713,"data_viz, devops, ethereum, gcp, linux, rest_apis",PhD,9,DevOps Engineer
714,"aws, jenkins, microservices, public_speaking, rest_apis, typescript",Bachelors,0,Solutions Architect
715,"angular, kotlin, mongodb, nginx, php, rails, scikit_learn, solidity",Masters,3,Blockchain Developer
716,"deep_learning, github_actions, graphql, grpc, sketch, sql",Masters,14,DevOps Engineer
717,"jira, powershell, terraform",PhD,15,Systems Administrator
718,"devops, php, powershell, public_speaking, pytest, react, rest_apis",Bachelors,6,Product Manager
719,"gcp, kotlin, microservices, mongodb_atlas, tensorflow",Bootcamp,1,Solutions Architect
720,"agile, cypress, javascript, linux, rest_apis, spring, ux_research",Bachelors,14,Software Developer
721,"deep_learning, devops, graphql, project_management",PhD,14,Data Scientist
722,"git, java, nlp",Bachelors,2,Software Developer
723,"gcp, graphql, linux, pytest, rails, sketch, swift",Masters,10,Solutions Architect
724,"apache, grpc, java, javascript, nlp, problem_solving, pytest, supabase",Bootcamp,10,Software Developer
725,"cpp, docker, github_actions, grpc, nginx, nosql, r",Bootcamp,0,DevOps Engineer
726,"cybersecurity, git, github_actions, kotlin, machine_learning, problem_solving, selenium, tableau",Bachelors,5,Software Developer
727,"blockchain, data_analysis, leadership, numpy, python, tensorflow, ux_research",Bootcamp,11,Data Scientist
728,"csharp, ethereum, vue",Masters,13,Frontend Developer
729,"aws, figma, kafka, pandas, problem_solving, solidity",Bachelors,6,Solutions Architect
730,"cypress, data_viz, networking",Bootcamp,12,Cloud Engineer
731,"communication, computer_vision, excel, java, laravel",Masters,1,Data Analyst
732,"azure, blockchain, communication, excel, nlp, postgresql, powershell, python",PhD,0,Cybersecurity Analyst
733,"computer_vision, devops, firebase, mongodb_atlas, pytorch, redis, supabase",Bachelors,12,Data Scientist
734,"computer_vision, go, java, redis",Bootcamp,15,Backend Developer
735,"cicd, git, java, postgresql",PhD,8,Software Developer
736,"cicd, css, cypress, microservices, numpy, php, public_speaking, sql",Masters,0,Frontend Developer
737,"angular, azure, computer_vision, excel, jenkins, mongodb_atlas, tensorflow",Bootcamp,3,Data Scientist
738,"agile, ethereum, sql",Bootcamp,0,Backend Developer
739,"aws, azure, jenkins, junit, statistics, typescript, websockets",Masters,4,DevOps Engineer
740,"gcp, github_actions, spring, technical_writing",PhD,0,Solutions Architect
741,"communication, django, python, rust",Bachelors,4,Backend Developer
742,"hadoop, microservices, nodejs, postgresql",Bootcamp,8,Backend Developer
743,"apache, excel, flask, nosql, r, rails, swift, tableau",Bachelors,14,Data Analyst
744,"agile, figma, laravel, tensorflow, ux_research",Bachelors,0,UX/UI Designer
745,"csharp, junit, mysql, scikit_learn",Masters,3,Machine Learning Engineer
746,"data_analysis, hadoop, illustrator, php, react, sql, technical_writing",Bootcamp,4,Data Analyst
747,"bash, data_viz, illustrator, kotlin, mongodb, mongodb_atlas, php",Bootcamp,9,Data Scientist
748,"dotnet, git, kotlin, photoshop, scala, typescript",Bachelors,0,Frontend Developer
749,"bash, data_analysis, elasticsearch, pytorch, rabbitmq, scikit_learn, technical_writing",PhD,3,Machine Learning Engineer
750,"cicd, dotnet, grpc, mongodb, mysql, rest_apis, terraform",Bachelors,9,Database Administrator
751,"elasticsearch, ethereum, kotlin, leadership, microservices, nosql, r, sketch",Bachelors,0,Project Manager
752,"angular, cpp, html, kotlin, r",Bootcamp,5,Frontend Developer
753,"nodejs, rabbitmq, scala",Masters,12,Full Stack Developer
754,"communication, hadoop, nginx, powershell",Bachelors,14,UX/UI Designer
755,"computer_vision, nlp, postgresql, project_management, python, supabase, ux_research",Bachelors,7,Data Scientist
756,"data_analysis, devops, excel",Masters,12,Data Analyst
757,"communication, csharp, ethereum, figma, public_speaking, pytorch, tensorflow",Masters,4,UX/UI Designer
758,"django, java, nodejs, python, rest_apis, ruby",Bachelors,2,Backend Developer
759,"cpp, gitlab, spring",Bachelors,15,Backend Developer
760,"aws, graphql, grpc, jira, leadership, redis",Bachelors,1,Project Manager
761,"firebase, html, javascript, nlp, pytorch, redis, spring, ux_research",Bootcamp,1,Data Scientist
762,"gitlab, graphql, jenkins, r",Masters,1,DevOps Engineer
763,"data_analysis, data_viz, excel, java, laravel, postgresql",Bachelors,0,Data Analyst
764,"apache_spark, scikit_learn, spring, testing, ui_design",Bachelors,10,Frontend Developer
765,"computer_vision, excel, grpc, mongodb_atlas, rust, ux_research",Bootcamp,3,UX/UI Designer
766,"communication, nlp, ruby",Bootcamp,5,UX/UI Designer
767,"angular, numpy, supabase, typescript",Masters,1,Frontend Developer
768,"csharp, hadoop, java, jira, kubernetes",Bootcamp,11,DevOps Engineer
769,"cypress, figma, firebase, github_actions, rabbitmq, scala, sketch",Bachelors,5,UX/UI Designer
770,"css, cypress, express, networking, powershell, terraform",Masters,1,Systems Administrator
771,"angular, deep_learning, leadership, ruby",Bachelors,1,Frontend Developer
772,"firebase, flask, photoshop",Masters,0,Software Developer
773,"cicd, mongodb_atlas, networking, pytest, supabase",Bachelors,8,QA Engineer
774,"angular, java, php, pytorch",Bachelors,12,Data Scientist
775,"mysql, pytorch, rabbitmq, scala, typescript",Masters,4,Machine Learning Engineer
776,"cybersecurity, jira, scala",Bachelors,3,Product Manager
777,"angular, leadership, mongodb_atlas, python, rest_apis, selenium, terraform",Bachelors,11,Software Developer
778,"css, github_actions, junit, mongodb_atlas, project_management, rabbitmq, selenium, vue",Bachelors,3,QA Engineer
779,"angular, cybersecurity, firebase, pandas, powershell, public_speaking, solidity",Bootcamp,14,Cybersecurity Analyst
780,"numpy, pandas, postgresql",Bootcamp,14,Data Scientist
781,"flask, kotlin, ui_design",Bootcamp,10,UX/UI Designer
782,"azure, nlp, nodejs, react",Masters,3,Data Scientist
783,"computer_vision, nlp, nodejs, pytorch, react, solidity, statistics, testing",Bachelors,6,Data Scientist
784,"angular, cpp, rabbitmq, terraform",Bootcamp,4,Robotics Engineer
785,"cicd, cpp, devops, gcp, kafka, nlp",Bachelors,7,DevOps Engineer
786,"apache_spark, aws, data_viz, go, pytest, ruby",Bachelors,12,Data Scientist
787,"cypress, pandas, php, technical_writing",PhD,11,Frontend Developer
788,"csharp, data_viz, elasticsearch, linux, problem_solving, spring",Masters,0,Systems Administrator
789,"django, excel, git, grpc, networking, tableau, websockets",Masters,9,Data Analyst
790,"aws, kafka, networking, nosql, postgresql, rust, statistics",Masters,2,Systems Administrator
791,"cicd, data_analysis, devops, graphql, html, nosql, pytest, redis",Bootcamp,7,Backend Developer
792,"cybersecurity, hadoop, kafka, terraform, ux_research",Masters,1,Cybersecurity Analyst
793,"apache, apache_spark, kafka, mongodb_atlas, mysql, nlp, ruby, technical_writing",Bootcamp,2,Technical Writer
794,"cpp, excel, nodejs, project_management, python",Masters,9,Robotics Engineer
795,"github_actions, javascript, mysql, problem_solving, solidity, statistics, typescript",Bachelors,0,Frontend Developer
796,"nosql, photoshop, rust, statistics",Bachelors,4,Database Administrator
797,"deep_learning, django, html, numpy, solidity",Masters,9,Frontend Developer
798,"flask, powershell, rabbitmq",Bachelors,12,Systems Administrator
799,"csharp, data_viz, mongodb, nodejs, redis, spring",Bachelors,4,Backend Developer
800,"data_analysis, pytorch, scikit_learn",Bachelors,14,Machine Learning Engineer
801,"angular, deep_learning, excel, java, microservices, project_management, sketch, tableau",PhD,14,Backend Developer
802,"apache, mysql, php, public_speaking, sketch, supabase",Bachelors,4,UX/UI Designer
803,"blockchain, elasticsearch, git, java, photoshop",Bachelors,11,Blockchain Developer
804,"computer_vision, mongodb, pytest, python, solidity, swift",Bachelors,2,Data Scientist
805,"gitlab, java, pandas, photoshop, r, rest_apis, solidity, vue",Bachelors,6,Backend Developer
806,"angular, firebase, gcp, jenkins, kubernetes",Bootcamp,11,DevOps Engineer
807,"dotnet, kafka, rest_apis",Bachelors,11,Software Developer
808,"ethereum, figma, scikit_learn, sql",Bootcamp,12,Blockchain Developer
809,"cpp, dotnet, firebase, html, leadership, mongodb_atlas",Bootcamp,13,Robotics Engineer
810,"figma, nodejs, rust, vue",Masters,9,Frontend Developer
811,"hadoop, kotlin, nodejs, swift",Bachelors,15,Robotics Engineer
812,"azure, computer_vision, gcp, kubernetes, machine_learning, nginx, python, rest_apis",Bachelors,13,Solutions Architect
813,"communication, github_actions, rabbitmq, rails",Bachelors,0,Technical Writer
814,"cpp, firebase, junit, mongodb, networking",Bachelors,14,Cybersecurity Analyst
815,"agile, angular, blockchain, machine_learning, scikit_learn, spring, sql, ux_research",Bootcamp,2,Backend Developer
816,"devops, illustrator, javascript",PhD,13,Frontend Developer
817,"data_analysis, jenkins, postgresql",Bachelors,3,Database Administrator
818,"bash, data_viz, go, junit, powerbi",Bachelors,2,Systems Administrator
819,"agile, cybersecurity, junit, pytest, scikit_learn, supabase, tableau, terraform",Bachelors,2,QA Engineer
820,"angular, aws, cicd, networking, python, r, rails",PhD,14,Cloud Engineer
821,"angular, aws, blockchain, css, photoshop, ui_design",PhD,15,Frontend Developer
822,"apache_spark, figma, java, junit, redis, rest_apis, ruby, ui_design",Bootcamp,13,Backend Developer
823,"apache, django, excel, microservices, mongodb, nlp, project_management, redis",Bachelors,1,Database Administrator
824,"computer_vision, elasticsearch, firebase, go, microservices, mongodb, public_speaking, terraform",Masters,12,UX/UI Designer
825,"agile, docker, firebase, numpy, ruby",Masters,10,Data Scientist
826,"docker, rabbitmq, ux_research",Bachelors,10,Software Developer
827,"javascript, laravel, python, rabbitmq",Bachelors,4,Data Scientist
828,"excel, express, junit, networking",Masters,10,Cybersecurity Analyst
829,"azure, cicd, data_viz, hadoop, photoshop, powerbi, project_management",Bachelors,13,Data Scientist
830,"ethereum, git, microservices, pandas, testing",Bachelors,4,Software Developer
831,"aws, laravel, php, terraform",Bachelors,8,Cloud Engineer
832,"django, networking, numpy, websockets",Masters,15,Cloud Engineer
833,"azure, devops, linux, redis",Bachelors,1,Systems Administrator
834,"css, python, solidity, tableau",Bachelors,9,Data Scientist
835,"jenkins, machine_learning, sketch, solidity, sql, statistics, tableau",Bootcamp,13,Data Analyst
836,"machine_learning, mongodb_atlas, networking",PhD,2,Cybersecurity Analyst
837,"grpc, kubernetes, mysql, project_management, redis, selenium",Masters,1,Backend Developer
838,"communication, elasticsearch, public_speaking",Masters,1,UX/UI Designer
839,"express, nlp, php, powershell, supabase, websockets",Bootcamp,12,Data Scientist
840,"angular, ethereum, figma, illustrator, scala, sql, technical_writing, typescript",PhD,1,Full Stack Developer
841,"go, statistics, ui_design",Masters,7,Data Analyst
842,"excel, kafka, linux, powershell",Bootcamp,8,Systems Administrator
843,"aws, cpp, deep_learning, express, gcp, jenkins, pytest, websockets",Masters,14,DevOps Engineer
844,"excel, go, mysql, photoshop, pytest, spring",Bachelors,15,Data Analyst
845,"express, jira, machine_learning, microservices, nosql, powershell, solidity",Bachelors,12,Backend Developer
846,"bash, cypress, deep_learning, illustrator, laravel, mongodb_atlas, php, pytest",Bootcamp,2,QA Engineer
847,"css, html, java, linux, python, ruby",Bootcamp,4,Software Developer
848,"cybersecurity, docker, dotnet, ethereum, leadership, nodejs, pandas",Bootcamp,10,Full Stack Developer
849,"csharp, dotnet, gcp, mongodb, postgresql, public_speaking, react, scikit_learn",Bootcamp,9,Database Administrator
850,"css, django, sketch",Bachelors,10,Backend Developer
851,"angular, communication, cybersecurity, html, jira",Bachelors,8,Frontend Developer
852,"agile, angular, mysql, pandas, pytest, rest_apis, spring",Bootcamp,0,Backend Developer
853,"docker, github_actions, java, jira, rails",Bootcamp,0,Backend Developer
854,"cpp, cypress, r, ruby, sketch, statistics",Bootcamp,5,QA Engineer
855,"angular, go, grpc, tableau",Masters,13,Frontend Developer
856,"express, mongodb_atlas, mysql, testing",Bachelors,6,QA Engineer
857,"angular, machine_learning, networking, react",Bootcamp,5,Frontend Developer
858,"firebase, go, jira, powershell, problem_solving, rails, statistics, tableau",Bachelors,12,Data Analyst
859,"cybersecurity, deep_learning, rails, technical_writing",Bachelors,13,Technical Writer
860,"agile, communication, cybersecurity, leadership",Bootcamp,9,Project Manager
861,"cypress, data_viz, git, grpc, rails, supabase",Bootcamp,14,Frontend Developer
862,"javascript, rails, typescript",Bachelors,6,Frontend Developer
863,"angular, github_actions, leadership, powerbi, scikit_learn, technical_writing, terraform",Bachelors,2,DevOps Engineer
864,"angular, kubernetes, networking, nginx, numpy, pytorch, rabbitmq, sql",Bootcamp,2,Cloud Engineer
865,"azure, django, flask, spring",Bootcamp,0,Backend Developer
866,"blockchain, elasticsearch, jira, solidity, ui_design",PhD,6,Project Manager
867,"cypress, git, grpc, supabase, terraform",Bootcamp,4,QA Engineer
868,"hadoop, javascript, jenkins, jira, nlp, postgresql, r, terraform",Bachelors,13,DevOps Engineer
869,"cypress, dotnet, figma, ruby",Bachelors,5,Frontend Developer
870,"bash, cypress, laravel, linux, numpy, php",PhD,7,Systems Administrator
871,"deep_learning, scala, typescript",Bachelors,0,Frontend Developer
872,"blockchain, cpp, javascript, kubernetes, solidity, swift",PhD,3,Solutions Architect
873,"computer_vision, mysql, numpy, postgresql, pytest, python",Bootcamp,8,Data Scientist
874,"deep_learning, figma, scala, spring, sql, technical_writing",Bachelors,1,Backend Developer
875,"communication, dotnet, junit, mongodb, nlp, selenium, typescript",Bachelors,1,QA Engineer
876,"apache_spark, networking, swift, websockets",Bootcamp,12,Cybersecurity Analyst
877,"agile, bash, cypress, git, github_actions, gitlab, java",Bootcamp,10,DevOps Engineer
878,"azure, dotnet, excel, problem_solving, spring, statistics",Bachelors,9,Backend Developer
879,"angular, github_actions, java, microservices, project_management, pytest",PhD,12,Backend Developer
880,"cicd, java, microservices, tensorflow",Bachelors,12,Backend Developer
881,"kafka, kotlin, photoshop, ux_research",Bootcamp,11,Robotics Engineer
882,"django, nosql, spring",Bachelors,10,Backend Developer
883,"angular, linux, mysql, nginx, r, tensorflow",Bachelors,2,Cloud Engineer
884,"firebase, git, kubernetes, powerbi, tensorflow",Bootcamp,0,Machine Learning Engineer
885,"cypress, github_actions, html, kotlin, networking, rabbitmq, rest_apis",Bachelors,2,Frontend Developer
886,"apache, cybersecurity, tensorflow, testing",Bootcamp,8,Frontend Developer
887,"bash, grpc, illustrator, solidity, tensorflow, ux_research",Bachelors,11,Systems Administrator
888,"data_viz, kubernetes, rabbitmq, scikit_learn",Bachelors,9,DevOps Engineer
889,"agile, css, data_viz, docker, elasticsearch, gcp, html",PhD,10,Cloud Engineer
890,"django, hadoop, javascript, jira, laravel, powerbi, project_management, sketch",Masters,14,Project Manager
891,"deep_learning, kubernetes, sql, testing",PhD,15,Database Administrator
892,"firebase, java, leadership, nodejs, powerbi, scikit_learn",Masters,6,Data Analyst
893,"data_viz, django, excel, problem_solving",Bachelors,13,Data Analyst
894,"cicd, go, nginx, sql, vue",Bootcamp,1,Data Analyst
895,"cybersecurity, docker, laravel, php, rust",PhD,12,Cybersecurity Analyst
896,"aws, cypress, excel, graphql, sql",Bachelors,15,Backend Developer
897,"jira, mongodb_atlas, nginx, powerbi, powershell, testing",Bachelors,5,Project Manager
898,"html, mysql, pandas, pytorch, solidity",Masters,13,Data Scientist
899,"cybersecurity, devops, flask, gitlab, laravel, networking, php",Bootcamp,5,Cybersecurity Analyst
900,"computer_vision, problem_solving, public_speaking, sql, statistics, supabase",Bachelors,1,Data Scientist
901,"excel, kafka, mongodb_atlas, rest_apis, solidity",Bootcamp,9,Software Developer
902,"javascript, machine_learning, nginx, redis, sketch",Bootcamp,1,Backend Developer
903,"git, microservices, technical_writing",PhD,6,Technical Writer
904,"docker, gitlab, grpc, nginx",PhD,4,DevOps Engineer
905,"data_viz, jenkins, machine_learning, mysql, numpy, project_management, scikit_learn, testing",Bachelors,10,Data Scientist
906,"express, microservices, mysql, pandas, sql",Bootcamp,14,Backend Developer
907,"cpp, firebase, jenkins, pytest, python, react, sql",Bachelors,2,Backend Developer
908,"apache_spark, cybersecurity, data_viz, postgresql",Bootcamp,13,Database Administrator
909,"excel, figma, grpc, kubernetes, nodejs, photoshop",Bachelors,6,UX/UI Designer
910,"dotnet, ethereum, junit, powershell, selenium, tableau",Bootcamp,0,QA Engineer
911,"cicd, dotnet, gitlab, jira, kubernetes, pytest",Bootcamp,12,DevOps Engineer
912,"agile, cypress, jira, rest_apis, vue",Bachelors,14,Frontend Developer
913,"bash, cybersecurity, go, graphql, illustrator, nlp, spring",Bootcamp,6,Backend Developer
914,"cybersecurity, devops, javascript",Bachelors,2,Cybersecurity Analyst
915,"communication, deep_learning, gcp, jenkins, numpy, scikit_learn, solidity, ux_research",Bachelors,8,DevOps Engineer
916,"devops, kubernetes, mongodb_atlas, nodejs, solidity, spring, technical_writing",Masters,13,Backend Developer
917,"blockchain, devops, django, laravel, rails, solidity, terraform",PhD,6,DevOps Engineer
918,"cpp, excel, graphql, mongodb_atlas, nlp, rabbitmq, spring",Bachelors,3,Backend Developer
919,"express, linux, php, postgresql, spring",Masters,8,Backend Developer
920,"apache_spark, cypress, tableau, tensorflow",Bachelors,9,Data Analyst
921,"flask, gitlab, hadoop, powershell, problem_solving",Bachelors,3,Systems Administrator
922,"data_viz, problem_solving, typescript, websockets",Bootcamp,10,Frontend Developer
923,"apache, apache_spark, elasticsearch, mongodb, mysql, selenium, sketch, ui_design",Bachelors,4,Database Administrator
924,"apache, dotnet, laravel, rails, react, scala, technical_writing",Masters,5,Technical Writer
925,"apache_spark, github_actions, javascript, jira, networking, nosql, rest_apis, scala",Bootcamp,7,Software Developer
926,"cicd, django, github_actions, powerbi, ruby, technical_writing",Bootcamp,12,Full Stack Developer
927,"csharp, devops, django, microservices, rails, sketch, supabase, testing",Bootcamp,13,Backend Developer
928,"cpp, cypress, ethereum, grpc, r, rails, ruby",Bachelors,3,Blockchain Developer
929,"cybersecurity, data_analysis, dotnet, flask, java, numpy, project_management, pytest",PhD,14,Data Analyst
930,"azure, dotnet, tableau",Bachelors,11,Solutions Architect
931,"angular, pytorch, sql, statistics, ux_research",Bachelors,14,Data Analyst
932,"junit, nodejs, selenium",Bachelors,3,QA Engineer
933,"angular, deep_learning, ethereum, illustrator, kubernetes, react, scala, terraform",Bachelors,7,Cloud Engineer
934,"figma, firebase, hadoop, networking, pandas, spring",Bachelors,2,Cloud Engineer
935,"css, excel, gcp, html, mongodb, rest_apis, websockets",Bachelors,10,Solutions Architect
936,"graphql, nosql, postgresql, scala",Bachelors,3,Database Administrator
937,"machine_learning, nlp, powershell, ux_research",Bootcamp,6,Data Scientist
938,"bash, data_viz, hadoop, java, microservices, public_speaking, ruby, vue",Bachelors,10,Solutions Architect
939,"data_analysis, dotnet, flask, hadoop, kafka, linux, ux_research",Masters,8,Cloud Engineer
940,"angular, data_analysis, elasticsearch, react, scala, vue",Bachelors,1,Frontend Developer
941,"data_viz, jenkins, jira, machine_learning, rabbitmq, solidity, technical_writing, ui_design",Bootcamp,13,Data Scientist
942,"kafka, nosql, postgresql, rest_apis, solidity, typescript",PhD,3,Database Administrator
943,"azure, blockchain, css, jenkins, kubernetes, public_speaking, r",Bachelors,8,DevOps Engineer
944,"agile, docker, sketch",Bootcamp,6,Project Manager
945,"angular, azure, gitlab, pytorch, sketch",Masters,0,Cybersecurity Analyst
946,"blockchain, gcp, jenkins, mongodb, public_speaking, spring, technical_writing",Bootcamp,13,Solutions Architect
947,"devops, docker, firebase, rails, react",Bachelors,0,Full Stack Developer
948,"cicd, data_viz, docker, figma",Bachelors,12,Full Stack Developer
949,"aws, excel, jira, pytest, sketch, tableau, ui_design",Bootcamp,12,UX/UI Designer
950,"data_analysis, firebase, github_actions, powershell, python, tableau",PhD,10,Data Analyst
951,"git, networking, technical_writing",Bachelors,7,Cybersecurity Analyst
952,"data_viz, elasticsearch, github_actions, graphql, problem_solving, react, supabase",Masters,14,Full Stack Developer
953,"agile, blockchain, git, sketch, swift, tensorflow, ux_research",Bachelors,12,Data Scientist
954,"mongodb_atlas, nginx, project_management, rails, supabase, tensorflow, ux_research",Bachelors,12,UX/UI Designer
955,"cpp, gitlab, pytest, rabbitmq, sketch, websockets",Masters,7,UX/UI Designer
956,"computer_vision, data_analysis, devops, docker, nlp, pytorch",Masters,13,Data Scientist
957,"apache, grpc, powershell, redis, scikit_learn",Bachelors,0,Database Administrator
958,"jenkins, jira, mongodb_atlas, php, rails, rust, swift",Bachelors,14,DevOps Engineer
959,"communication, graphql, kotlin, networking, numpy, websockets",Masters,7,Data Analyst
960,"agile, angular, firebase",Bachelors,2,Frontend Developer
961,"firebase, grpc, linux, mongodb_atlas, statistics",Masters,13,Data Analyst
962,"express, microservices, r, rest_apis, terraform",Bachelors,10,Backend Developer
963,"agile, apache_spark, elasticsearch, photoshop, rust, terraform, testing",Masters,1,DevOps Engineer
964,"aws, mongodb, nodejs, php, pytest, pytorch, rust, vue",Masters,2,Full Stack Developer
965,"git, networking, rails, swift",Masters,13,Systems Administrator
966,"github_actions, jenkins, supabase, terraform",Bachelors,2,DevOps Engineer
967,"problem_solving, rabbitmq, rust",Bootcamp,6,Product Manager
968,"agile, azure, elasticsearch, java, kotlin, microservices, python, supabase",Bachelors,6,Backend Developer
969,"bash, kotlin, kubernetes, mysql, nlp, nosql, sketch",Masters,15,DevOps Engineer
970,"excel, figma, kafka, linux, pandas",Masters,12,Data Analyst
971,"data_viz, dotnet, photoshop, rabbitmq, sketch",Bachelors,6,Data Scientist
972,"apache, communication, express, firebase, git, javascript, nosql",Bootcamp,13,Backend Developer
973,"cicd, cybersecurity, django, firebase, git, rust",Masters,5,Software Developer
974,"communication, django, junit, pytest, python, rails, redis, sql",Bachelors,4,Backend Developer
975,"cybersecurity, powershell, spring",Bachelors,10,Cybersecurity Analyst
976,"blockchain, nosql, supabase",Masters,5,Blockchain Developer
977,"scikit_learn, sql, technical_writing",Bachelors,1,Technical Writer
978,"csharp, cybersecurity, grpc",Masters,1,Cybersecurity Analyst
979,"azure, cybersecurity, graphql, pandas, rabbitmq, supabase, tableau",Bootcamp,11,Solutions Architect
980,"apache, blockchain, django, solidity, technical_writing",Masters,2,Blockchain Developer
981,"cicd, figma, grpc, php, r, rabbitmq, statistics, technical_writing",Bachelors,11,Technical Writer
982,"csharp, gitlab, javascript, jira, project_management, rest_apis",Bachelors,7,Product Manager
983,"bash, express, machine_learning, sql, ui_design",Bachelors,8,UX/UI Designer
984,"azure, flask, linux",Bachelors,15,Cloud Engineer
985,"blockchain, grpc, numpy, pandas, r",Bootcamp,15,Data Scientist
986,"apache, devops, graphql, kafka, kubernetes, nosql, rails, ui_design",Bootcamp,12,Backend Developer
987,"agile, azure, csharp, graphql, networking, public_speaking",PhD,11,Systems Administrator
988,"cpp, elasticsearch, graphql, junit, numpy, powershell, public_speaking, ux_research",Bachelors,7,UX/UI Designer
989,"cicd, firebase, leadership, nginx, rest_apis",Bachelors,10,Software Developer
990,"data_analysis, dotnet, ethereum, firebase",Bootcamp,3,Blockchain Developer
991,"cicd, git, graphql, mysql, networking, public_speaking, selenium",Bachelors,2,Software Developer
992,"excel, tensorflow, vue, websockets",Bootcamp,7,Machine Learning Engineer
993,"azure, github_actions, rails, rust",Bootcamp,11,DevOps Engineer
994,"blockchain, data_analysis, rest_apis",Bachelors,13,Solutions Architect
995,"pandas, scala, sketch, swift, terraform, ui_design",Bootcamp,2,UX/UI Designer
996,"agile, deep_learning, devops, mysql, r, scikit_learn, selenium, vue",Bachelors,11,QA Engineer
997,"figma, java, mysql, spring, websockets",Masters,2,Backend Developer
998,"communication, go, kotlin, redis, selenium",Masters,9,UX/UI Designer
999,"laravel, mongodb, rabbitmq",Bachelors,14,Database Administrator
